10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上
1286,1053,1015,1047,1090,544,171,117,76,26,1,1286,2339,3354,4401,5491,6035,6206,6323,6399,6425,6426
1684,1312,1475,1545,1560,788,247,141,79,33,2,1684,2996,4471,6016,7576,8364,8611,8752,8831,8864,8866
1305,1079,1271,1332,1260,575,206,126,106,23,1,1305,2384,3655,4987,6247,6822,7028,7154,7260,7283,7284
1229,1121,1487,1249,1235,621,213,149,103,27,5,1229,2350,3837,5086,6321,6942,7155,7304,7407,7434,7439
1511,1288,1446,1227,1323,591,219,129,71,33,5,1511,2799,4245,5472,6795,7386,7605,7734,7805,7838,7843
899,809,813,671,714,332,129,93,48,31,3,899,1708,2521,3192,3906,4238,4367,4460,4508,4539,4542
1524,1262,1454,1287,1169,610,225,167,100,46,2,1524,2786,4240,5527,6696,7306,7531,7698,7798,7844,7846
1790,1393,1831,1577,1540,781,286,152,112,53,3,1790,3183,5014,6591,8131,8912,9198,9350,9462,9515,9518
1330,1163,1753,1394,1376,658,238,163,108,35,2,1330,2493,4246,5640,7016,7674,7912,8075,8183,8218,8220
1151,1029,1806,1410,1345,705,258,139,103,34,2,1151,2180,3986,5396,6741,7446,7704,7843,7946,7980,7982
1123,1002,1587,1413,1156,602,247,141,93,29,2,1123,2125,3712,5125,6281,6883,7130,7271,7364,7393,7395
1263,1116,1689,1370,1282,672,246,152,80,25,2,1263,2379,4068,5438,6720,7392,7638,7790,7870,7895,7897
685,596,916,762,703,430,150,77,42,20,2,685,1281,2197,2959,3662,4092,4242,4319,4361,4381,4383
1083,864,1525,1298,1126,667,193,105,81,25,1,1083,1947,3472,4770,5896,6563,6756,6861,6942,6967,6968
1367,967,1851,1624,1410,769,319,192,109,42,2,1367,2334,4185,5809,7219,7988,8307,8499,8608,8650,8652
1196,1023,1970,1648,1520,776,268,204,103,41,3,1196,2219,4189,5837,7357,8133,8401,8605,8708,8749,8752
1165,990,1785,1576,1256,725,274,166,117,57,0,1165,2155,3940,5516,6772,7497,7771,7937,8054,8111,8111
