10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上
21.7025,14.8924,14.7847,17.0841,16.0372,8.2779,3.5616,1.9765,1.1742,0.4892,0.0196,21.7025,36.5949,51.3796,68.4638,84.5010,92.7789,96.3405,98.3170,99.4912,99.9804,100.0000
18.9400,14.5037,16.5030,18.7389,16.8224,7.8670,3.1705,1.8337,1.1712,0.3904,0.0592,18.9400,33.4437,49.9468,68.6857,85.5081,93.3751,96.5456,98.3793,99.5505,99.9408,100.0000
18.6350,13.7014,17.2418,18.3282,17.3441,8.0266,2.9908,1.8277,1.2526,0.5752,0.0767,18.6350,32.3364,49.5782,67.9064,85.2505,93.2771,96.2679,98.0956,99.3482,99.9233,100.0000
18.7500,14.0323,16.6935,17.7554,16.7876,8.8038,3.2527,2.0833,1.2231,0.5780,0.0403,18.7500,32.7823,49.4758,67.2312,84.0188,92.8226,96.0753,98.1586,99.3817,99.9597,100.0000
19.7476,15.3148,16.0690,17.6235,16.2075,8.1884,3.0937,1.9855,1.2313,0.5233,0.0154,19.7476,35.0623,51.1313,68.7548,84.9623,93.1507,96.2444,98.2300,99.4613,99.9846,100.0000
20.3997,16.1173,16.0394,15.7021,17.2074,8.3052,2.5175,1.9725,1.4794,0.2336,0.0260,20.3997,36.5170,52.5564,68.2585,85.4659,93.7711,96.2886,98.2611,99.7405,99.9740,100.0000
19.9037,16.2797,16.2514,16.0532,15.2605,8.0974,3.3975,2.2367,1.5855,0.8211,0.1133,19.9037,36.1835,52.4349,68.4881,83.7486,91.8460,95.2435,97.4802,99.0657,99.8867,100.0000
20.0124,16.3866,15.7952,16.2932,16.9623,8.4656,2.6611,1.8207,1.1827,0.4046,0.0156,20.0124,36.3990,52.1942,68.4874,85.4497,93.9153,96.5764,98.3971,99.5798,99.9844,100.0000
18.9939,14.7981,16.6366,17.4261,17.5953,8.8879,2.7859,1.5903,0.8910,0.3722,0.0226,18.9939,33.7920,50.4286,67.8547,85.4500,94.3379,97.1238,98.7142,99.6052,99.9774,100.0000
17.9160,14.8133,17.4492,18.2867,17.2982,7.8940,2.8281,1.7298,1.4552,0.3158,0.0137,17.9160,32.7293,50.1785,68.4651,85.7633,93.6573,96.4854,98.2153,99.6705,99.9863,100.0000
16.5210,15.0692,19.9892,16.7899,16.6017,8.3479,2.8633,2.0030,1.3846,0.3630,0.0672,16.5210,31.5903,51.5795,68.3694,84.9711,93.3190,96.1823,98.1852,99.5698,99.9328,100.0000
19.2656,16.4223,18.4368,15.6445,16.8685,7.5354,2.7923,1.6448,0.9053,0.4208,0.0638,19.2656,35.6879,54.1247,69.7692,86.6378,94.1731,96.9654,98.6102,99.5155,99.9362,100.0000
19.7930,17.8115,17.8996,14.7732,15.7199,7.3096,2.8402,2.0476,1.0568,0.6825,0.0661,19.7930,37.6046,55.5042,70.2774,85.9974,93.3069,96.1471,98.1946,99.2514,99.9339,100.0000
19.4239,16.0846,18.5317,16.4033,14.8993,7.7747,2.8677,2.1285,1.2745,0.5863,0.0255,19.4239,35.5085,54.0403,70.4435,85.3428,93.1175,95.9852,98.1137,99.3882,99.9745,100.0000
18.8065,14.6354,19.2372,16.5686,16.1799,8.2055,3.0048,1.5970,1.1767,0.5568,0.0315,18.8065,33.4419,52.6791,69.2477,85.4276,93.6331,96.6379,98.2349,99.4116,99.9685,100.0000
16.1800,14.1484,21.3260,16.9586,16.7397,8.0049,2.8954,1.9830,1.3139,0.4258,0.0243,16.1800,30.3285,51.6545,68.6131,85.3528,93.3577,96.2530,98.2360,99.5499,99.9757,100.0000
14.4199,12.8915,22.6259,17.6647,16.8504,8.8324,3.2323,1.7414,1.2904,0.4260,0.0251,14.4199,27.3115,49.9374,67.6021,84.4525,93.2849,96.5172,98.2586,99.5490,99.9749,100.0000
15.1859,13.5497,21.4604,19.1075,15.6322,8.1406,3.3401,1.9067,1.2576,0.3922,0.0270,15.1859,28.7356,50.1961,69.3036,84.9358,93.0764,96.4165,98.3232,99.5808,99.9730,100.0000
15.9934,14.1319,21.3879,17.3484,16.2340,8.5096,3.1151,1.9248,1.0130,0.3166,0.0253,15.9934,30.1254,51.5132,68.8616,85.0956,93.6052,96.7203,98.6451,99.6581,99.9747,100.0000
15.6286,13.5980,20.8989,17.3854,16.0392,9.8106,3.4223,1.7568,0.9582,0.4563,0.0456,15.6286,29.2266,50.1255,67.5108,83.5501,93.3607,96.7830,98.5398,99.4981,99.9544,100.0000
15.5425,12.3995,21.8858,18.6280,16.1596,9.5723,2.7698,1.5069,1.1625,0.3588,0.0144,15.5425,27.9420,49.8278,68.4558,84.6154,94.1877,96.9575,98.4644,99.6269,99.9856,100.0000
15.7998,11.1766,21.3939,18.7702,16.2968,8.8881,3.6870,2.2191,1.2598,0.4854,0.0231,15.7998,26.9764,48.3703,67.1405,83.4374,92.3255,96.0125,98.2316,99.4914,99.9769,100.0000
13.6654,11.6888,22.5091,18.8300,17.3675,8.8665,3.0622,2.3309,1.1769,0.4685,0.0343,13.6654,25.3542,47.8633,66.6933,84.0608,92.9273,95.9895,98.3204,99.4973,99.9657,100.0000
